"study_id","author","location_id","location_id2","location_name","location_name2","vac_before_booster","vaccine_developer","variant","symptom_severity","severity","sample_size","age_start","age_end","efficacy_mean","efficacy_lower","efficacy_upper","booster","vemt","mean_time_since.vaccination","start_interval","end_interval","sev_severity","mid_point1","mid_point","study_id2","se","mean_logit","sd_logit","in_var"
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 50-69 hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,50,69,0.92,0.88,0.94,0,0,NA,15,19,"severe",17,17,"519&Netherlands delta 50-69 hosp &B.1.617.2&hosp&50&69",0.0153061224489796,2.44234703536921,0.207963620230701,0.808290376865476
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 50-69 hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,50,69,0.89,0.78,0.95,0,0,NA,20,24,"severe",22,22,"519&Netherlands delta 50-69 hosp &B.1.617.2&hosp&50&69",0.0433673469387755,2.09074109693377,0.442975964645306,0.480196038399025
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 50-69 hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,50,69,0.84,-0.16,0.98,0,0,NA,25,29,"severe",27,27,"519&Netherlands delta 50-69 hosp &B.1.617.2&hosp&50&69",0.290816326530612,1.65822807660353,2.16381195335277,0.185434529989106
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 70+ hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,70,99,0.77,0.58,0.87,0,0,NA,0,4,"severe",2,2,"519&Netherlands delta 70+ hosp &B.1.617.2&hosp&70&99",0.0739795918367347,1.20831120592453,0.41772779128591,0.367658012007223
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 70+ hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,70,99,0.8,0.61,0.9,0,0,NA,5,9,"severe",7,7,"519&Netherlands delta 70+ hosp &B.1.617.2&hosp&70&99",0.0739795918367347,1.38629436111989,0.462372448979592,0.367658012007223
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 70+ hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,70,99,0.74,0.58,0.84,0,0,NA,10,14,"severe",12,12,"519&Netherlands delta 70+ hosp &B.1.617.2&hosp&70&99",0.0663265306122449,1.04596855518269,0.34473248758963,0.38829013735766
519,"RIVM COVID-19 group","89","89","Netherlands","Netherlands delta 70+ hosp ","","AstraZeneca","B.1.617.2","Severe","hosp",NA,70,99,0.62,0.07,0.84,0,0,NA,15,19,"severe",17,17,"519&Netherlands delta 70+ hosp &B.1.617.2&hosp&70&99",0.196428571428571,0.489548225318706,0.833737569730779,0.225630429927106
525,"UK HSA","95","95","United Kingdom","UK delta hosp","","AstraZeneca","B.1.617.2","severe","hosp ",NA,18,80,0.92,0.91,0.94,0,0,NA,20,24,"severe",22,22,"525&UK delta hosp&B.1.617.2&hosp &18&80",0.00765306122448977,2.44234703536921,0.10398181011535,1.14309521329882
525,"UK HSA","95","95","United Kingdom","UK delta hosp","","AstraZeneca","B.1.617.2","severe","hosp ",NA,18,80,0.91,0.9,0.92,0,0,NA,25,29,"severe",27,27,"525&UK delta hosp&B.1.617.2&hosp &18&80",0.00510204081632654,2.31363492918063,0.0622959806633277,1.4
528,"Katikireddi S","434","434","Scotland","Scotland delta severe","","AstraZeneca","B.1.617.2","severe","hosp&death",NA,18,80,0.777,0.719,0.823,0,0,NA,0,1,"severe",0.5,0.5,"528&Scotland delta severe&B.1.617.2&hosp&death&18&80",0.026530612244898,1.24826857890753,0.153116287462403,0.61394061351492
528,"Katikireddi S","434","434","Scotland","Scotland delta severe","","AstraZeneca","B.1.617.2","severe","hosp&death",NA,18,80,0.837,0.797,0.87,0,0,NA,2,3,"severe",2.5,2.5,"528&Scotland delta severe&B.1.617.2&hosp&death&18&80",0.0186224489795918,1.63607386968271,0.1364971962354,0.732793491626299
528,"Katikireddi S","434","434","Scotland","Scotland delta severe","","AstraZeneca","B.1.617.2","severe","hosp&death",NA,18,80,0.866,0.836,0.89,0,0,NA,4,5,"severe",4.5,4.5,"528&Scotland delta severe&B.1.617.2&hosp&death&18&80",0.0137755102040816,1.86604510861152,0.118709370618745,0.852012867230258
528,"Katikireddi S","434","434","Scotland","Scotland delta severe","","AstraZeneca","B.1.617.2","severe","hosp&death",NA,18,80,0.868,0.842,0.889,0,0,NA,6,7,"severe",6.5,6.5,"528&Scotland delta severe&B.1.617.2&hosp&death&18&80",0.0119897959183674,1.88338979207398,0.10464491619857,0.913259302274819
528,"Katikireddi S","434","434","Scotland","Scotland delta severe","","AstraZeneca","B.1.617.2","severe","hosp&death",NA,18,80,0.79,0.759,0.817,0,0,NA,8,9,"severe",8.5,8.5,"528&Scotland delta severe&B.1.617.2&hosp&death&18&80",0.0147959183673469,1.3249254147436,0.0891857647218018,0.822108307320585
528,"Katikireddi S","434","434","Scotland","Scotland delta severe","","AstraZeneca","B.1.617.2","severe","hosp&death",NA,18,80,0.796,0.768,0.821,0,0,NA,10,11,"severe",10.5,10.5,"528&Scotland delta severe&B.1.617.2&hosp&death&18&80",0.0135204081632653,1.36147919200017,0.0832619479952784,0.860013163567532
528,"Katikireddi S","434","434","Scotland","Scotland delta severe","","AstraZeneca","B.1.617.2","severe","hosp&death",NA,18,80,0.774,0.746,0.8,0,0,NA,12,13,"severe",12.5,12.5,"528&Scotland delta severe&B.1.617.2&hosp&death&18&80",0.0137755102040816,1.23103687431744,0.0787514017749517,0.852012867230258
528,"Katikireddi S","434","434","Scotland","Scotland delta severe","","AstraZeneca","B.1.617.2","severe","hosp&death",NA,18,80,0.759,0.729,0.786,0,0,NA,14,15,"severe",14.5,14.5,"528&Scotland delta severe&B.1.617.2&hosp&death&18&80",0.0145408163265306,1.14720484390498,0.0794931982272516,0.829288428862729
