study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,study_id2,e_mean,se,mean_logit,sd_logit
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 65-90,"",Pfizer & BioNTech,Omicron,severe,hosp,,65,90,0.858,0.694,0.934,0,0,,2,24,severe,13,13,554&UK 4 Omicron hosp 65-90&Omicron&hosp&65&90,0.758,0.0612244897959184,1.14174565948569,0.333764854204837
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 65-90,"",Pfizer & BioNTech,Omicron,severe,hosp,,65,90,0.756,0.614,0.846,0,0,,25,32,severe,28.5,28.5,554&UK 4 Omicron hosp 65-90&Omicron&hosp&65&90,0.656,0.0591836734693878,0.645519131570691,0.262264576846053
557,Buchan S,0,101,101,Canada,Canada adolescents omicron severe,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.76,-0.1,0.95,0,0,,1,8,severe,4.5,4.5,557&Canada adolescents omicron severe&Omicron&hosp&death&12&17,0.66,0.267857142857143,0.663294217410264,1.19365928189458
557,Buchan S,0,101,101,Canada,Canada adolescents omicron severe,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.83,0.55,0.93,0,0,,9,17,severe,13,13,557&Canada adolescents omicron severe&Omicron&hosp&death&12&17,0.73,0.0969387755102041,0.994622575144062,0.491825345054308
557,Buchan S,0,101,101,Canada,Canada adolescents omicron severe,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.82,0.64,0.91,0,0,,18,25,severe,21.5,21.5,557&Canada adolescents omicron severe&Omicron&hosp&death&12&17,0.72,0.0688775510204082,0.944461608840851,0.341654518950437
557,Buchan S,0,101,101,Canada,Canada adolescents omicron severe,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.88,0.77,0.94,0,0,,26,32,severe,29,29,557&Canada adolescents omicron severe&Omicron&hosp&death&12&17,0.78,0.0433673469387755,1.26566637333128,0.252723467009181
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.659,0.383,0.812,0,0,,0,2,severe,1,1,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.559,0.109438775510204,0.237104597708253,0.4439364734978
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.754,0.573,0.859,0,0,,3,4,severe,3.5,3.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.654,0.0729591836734694,0.636668576399475,0.322423077519707
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.821,0.707,0.891,0,0,,5,6,severe,5.5,5.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.721,0.0469387755102041,0.949427355463583,0.23334166261616
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.828,0.745,0.885,0,0,,7,8,severe,7.5,7.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.728,0.0357142857142857,0.984498981900689,0.180360605780774
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.812,0.734,0.867,0,0,,9,10,severe,9.5,9.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.712,0.0339285714285714,0.90511743127603,0.165460027644016
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.83,0.751,0.884,0,0,,11,12,severe,11.5,11.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.73,0.0339285714285714,0.994622575144062,0.172138870769008
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.898,0.821,0.942,0,0,,12,13,severe,12.5,12.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.798,0.0308673469387755,1.3738409000486,0.19148953409995
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.849,0.752,0.908,0,0,,14,17,severe,15.5,15.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.749,0.0397959183673469,1.09328604438544,0.211681542813243
562,Gray G,0,196,196,South Africa,SA 1 Omicron,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.81,0.41,0.94,0,0,,0,2,severe,1,1,562&SA 1 Omicron&Omicron&hosp&18&80,0.71,0.135204081632653,0.895384047054841,0.656649255136732
562,Gray G,0,196,196,South Africa,SA 1 Omicron,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.88,0.62,0.96,0,0,,3,4,severe,3.5,3.5,562&SA 1 Omicron&Omicron&hosp&18&80,0.78,0.086734693877551,1.26566637333128,0.505446934018363
562,Gray G,0,196,196,South Africa,SA 1 Omicron,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.7,0.64,0.76,0,0,,5,12,severe,8.5,8.5,562&SA 1 Omicron&Omicron&hosp&18&80,0.6,0.0306122448979592,0.405465108108164,0.127551020408163
562,Gray G,0,196,196,South Africa,SA 1 Omicron,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.71,0.68,0.74,0,0,,13,21,severe,17,17,562&SA 1 Omicron&Omicron&hosp&18&80,0.61,0.0153061224489796,0.447312218043665,0.064338471832617
562,Gray G,0,196,196,South Africa,SA 1 Omicron,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.67,0.63,0.71,0,0,,22,29,severe,25.5,25.5,562&SA 1 Omicron&Omicron&hosp&18&80,0.57,0.0204081632653061,0.281851152140988,0.0832646400053289
567,Natarajan K,0,102,102,United States,US Omicron,"",Johnson & Johnson,Omicron,severe,hosp,,18,85,0.67,0.52,0.77,0,1,8,,,severe,,8,567&US Omicron&Omicron&hosp&18&85,0.57,0.0637755102040816,0.281851152140988,0.260202000016653
1013,Tartof S,0,102,102,United States,US omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,65,0.54,0.38,0.65,0,0,,2,23,severe,12.5,12.5,1013&US omicron hosp&Omicron&hosp&18&65,0.44,0.0688775510204082,-0.241162056816888,0.279535515504903
1013,Tartof S,0,102,102,United States,US omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,65,0.32,0.16,0.48,0,0,,24,48,severe,36,36,1013&US omicron hosp&Omicron&hosp&18&65,0.22,0.0816326530612245,-1.26566637333128,0.475714761429047
1013,Tartof S,0,102,102,United States,US omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,65,0.56,-0.02,0.81,0,0,,2,23,severe,12.5,12.5,1013&US omicron hosp&Omicron&hosp&18&65,0.46,0.211734693877551,-0.160342650075179,0.852394097735713
1013,Tartof S,0,102,102,United States,US omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,65,0.56,0.28,0.73,0,0,,24,48,severe,36,36,1013&US omicron hosp&Omicron&hosp&18&65,0.46,0.114795918367347,-0.160342650075179,0.462141378290447
571,Ranzani O,0,92,92,Spain,Spain omicron,"",CoronaVac/SinoVac,Omicron,severe,hosp&death,,18,80,0.39,-0.249,0.72,0,0,,0,2,severe,1,1,571&Spain omicron&Omicron&hosp&death&18&80,0.29,0.24719387755102,-0.895384047054841,1.20055307212735
571,Ranzani O,0,92,92,Spain,Spain omicron,"",CoronaVac/SinoVac,Omicron,severe,hosp&death,,18,80,0.499,0.07,0.637,0,0,,3,8,severe,5.5,5.5,571&Spain omicron&Omicron&hosp&death&18&80,0.399,0.144642857142857,-0.409633517645344,0.603183737808986
571,Ranzani O,0,92,92,Spain,Spain omicron,"",CoronaVac/SinoVac,Omicron,severe,hosp&death,,18,80,0.626,0.585,0.663,0,0,,9,25,severe,17,17,571&Spain omicron&Omicron&hosp&death&18&80,0.526,0.0198979591836735,0.104093891042633,0.0798076365840171
571,Ranzani O,0,92,92,Spain,Spain omicron,"",CoronaVac/SinoVac,Omicron,severe,hosp&death,,18,80,0.57,0.535,0.602,0,0,,26,40,severe,33,33,571&Spain omicron&Omicron&hosp&death&18&80,0.47,0.0170918367346939,-0.120144311842063,0.0686143586298429
