study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,vaccine_type,study_id2,e_mean,se,mean_logit,sd_logit
549,Veneti L,0,90,90,Norway,Norway Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,16,17,0.23,0.02,0.4,0,0,,9,14,infection,11.5,11.5,Omicron,mRNA,549&Norway Omicron&Omicron&infection&16&17,0.144444444444444,0.119677500629882,-1.77885606439215,0.968419335766277
1007,Fowlkes A,0,102,102,United States,US Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,15,0.59,0.22,0.79,0,0,,2,21,infection,11.5,11.5,Omicron,mRNA,1007&US Omicron&Omicron&infection&12&15,0.544444444444444,0.179516250944822,0.178248231406317,0.723783789274794
1007,Fowlkes A,0,102,102,United States,US Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,15,0.62,-0.28,0.89,0,0,,22,32,infection,27,27,Omicron,mRNA,1007&US Omicron&Omicron&infection&12&15,0.577777777777778,0.368480725623583,0.313657558855042,1.51047261009667
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.584,0.059,0.816,0,0,,0,1,infection,0.5,0.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.537777777777778,0.238410178886369,0.151399646455369,0.959115965203627
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.634,0.214,0.83,0,0,,2,3,infection,2.5,2.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.593333333333333,0.194003527336861,0.377762505558827,0.804030091191631
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.577,0.372,0.716,0,0,,4,7,infection,5.5,5.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.53,0.108339632149156,0.120144311842063,0.434924255917928
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.408,0.232,0.544,0,0,,8,11,infection,9.5,9.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.342222222222222,0.0982615268329554,-0.653406851910432,0.436511916103753
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.377,0.227,0.497,0,0,,12,15,infection,13.5,13.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.307777777777778,0.0850340136054422,-0.810529012600114,0.399125872947414
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.475,0.376,0.558,0,0,,16,19,infection,17.5,17.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.416666666666667,0.0573192239858907,-0.336472236621212,0.235827664399093
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.339,0.241,0.424,0,0,,20,23,infection,21.5,21.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.265555555555556,0.0576341647770219,-1.01729028792017,0.295505563836888
1011,Ionescu I,0,101,101,Canada,Canada Omicron Adolscents,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.222,0.084,0.339,0,0,,24,27,infection,25.5,25.5,Omicron,mRNA,1011&Canada Omicron Adolscents&Omicron&infection&12&17,0.135555555555556,0.0803099017384732,-1.85270547944513,0.685353580093589
