location_id,location_name,year_to_start
35443,Nagano,2009
35444,Gifu,2001
35445,Shizuoka,2011
35446,Aichi,1996
35447,Mie,2003
35448,Shiga,1995
35449,Kyoto,1998
35450,Osaka,2000
35451,Hyogo,1997
35452,Nara,2007
35453,Wakayama,1998
35454,Tottori,1998
35455,Shimane,2008
35456,Okayama,2010
35457,Hiroshima,2010
35458,Yamaguchi,2008
35459,Tokushima,2011
35460,Kagawa,2012
35461,Ehime,1996
35462,Kochi,2011
35463,Fukuoka,1999
35464,Saga,1998
35465,Nagasaki,1995
35466,Kumamoto,2003
35467,Oita,2004
35468,Miyazaki,2013
35469,Kagoshima,1997
35470,Okinawa,2012
44643,Darlington,2006
44644,Northumberland,2016
44645,Stockton-on-Tees,2016
44646,Newcastle upon Tyne,2016
44647,North Tyneside,2008
44648,Redcar and Cleveland,2016
44649,County Durham,2007
44650,Gateshead,2010
44651,Middlesbrough,2015
44652,South Tyneside,2009
44653,Sunderland,2007
44655,Cheshire East,2016
44656,Stockport,2016
44657,Trafford,2014
44658,Cheshire West and Chester,2011
44660,Lancashire,2015
44661,Cumbria,2016
44662,Bolton,2014
44663,Wirral,2009
44664,Bury,2008
44665,St Helens,2013
44666,Warrington,2013
44667,Oldham,2016
44668,Rochdale,2010
44669,Wigan,2012
44671,Liverpool,2013
44672,Tameside,2011
44673,Salford,2013
44674,Blackburn with Darwen,2010
44676,Blackpool,2006
44677,Manchester,2009
44678,North Yorkshire,2010
44679,East Riding of Yorkshire,2007
44683,North Lincolnshire,2014
44684,Bradford,2014
44685,Kirklees,2010
44686,Leeds,2012
44687,Sheffield,2015
44688,Wakefield,2010
44689,Rotherham,2012
44690,Doncaster,2012
44691,"Kingston upon Hull, City of",2010
44692,Barnsley,2006
44693,Northamptonshire,2008
44694,Leicestershire,2016
44695,Lincolnshire,2014
44697,Derby,2013
44698,Derbyshire,2011
44699,Nottinghamshire,2011
44700,Nottingham,2012
44701,Leicester,2013
44702,Warwickshire,2007
44703,"Herefordshire, County of",2013
44704,Solihull,2008
44705,Shropshire,2013
44706,Worcestershire,2009
44707,Staffordshire,2006
44708,Dudley,2014
44709,Coventry,2014
44710,Telford and Wrekin,2012
44711,Stoke-on-Trent,2016
44712,Walsall,2006
44713,Wolverhampton,2009
44714,Birmingham,2009
44715,Sandwell,2012
44716,Bedford,2015
44717,Central Bedfordshire,2011
44718,Suffolk,2012
44719,Hertfordshire,2008
44720,Essex,2014
44721,Cambridgeshire,2010
44722,Thurrock,2006
44723,Norfolk,2013
44725,Peterborough,2012
44726,Luton,2007
44727,Richmond upon Thames,2016
44729,Barnet,2012
44730,Westminster,2011
44731,Bromley,2012
44732,Bexley,2014
44733,Redbridge,2008
44734,Merton,2011
44735,Brent,2009
44736,Hillingdon,2007
44737,Havering,2014
44738,Kingston upon Thames,2012
44740,Harrow,2014
44741,Enfield,2006
44742,Croydon,2013
44743,Hammersmith and Fulham,2008
44744,Ealing,2008
44745,Greenwich,2006
44746,Wandsworth,2006
44747,Waltham Forest,2008
44748,Camden,2014
44749,Lambeth,2011
44750,Lewisham,2013
44751,Hounslow,2006
44752,Southwark,2011
44753,Newham,2010
44754,Barking and Dagenham,2013
44755,Haringey,2008
44756,Hackney,2015
44757,Islington,2010
44758,Tower Hamlets,2016
44759,Wokingham,2010
44760,Buckinghamshire,2016
44761,Surrey,2010
44762,Windsor and Maidenhead,2011
44763,West Berkshire,2016
44764,Hampshire,2007
44765,Bracknell Forest,2006
44766,West Sussex,2011
44767,Oxfordshire,2008
44768,Reading,2013
44769,Kent,2015
44770,Brighton and Hove,2008
44771,Medway,2007
44772,East Sussex,2016
44775,Milton Keynes,2012
44776,Southampton,2010
44777,Slough,2008
44778,South Gloucestershire,2016
44779,Dorset,2006
44780,Wiltshire,2016
44781,North Somerset,2010
44782,Devon,2006
44783,Poole,2015
44784,Bath and North East Somerset,2011
44785,Gloucestershire,2011
44786,Somerset,2011
44787,Swindon,2006
44789,"Bristol, City of",2014
44790,Bournemouth,2006
44791,Cornwall,2014
44792,Plymouth,2010
44850,New Zealand Maori population,2008
44851,New Zealand non-Maori population,2011
44866,East Azarbayejan,2015
44867,West Azarbayejan,2014
44868,Bushehr,2015
44879,North Khorasan,2015
44880,Khorasan-e-Razavi,2015
44891,Sistan and Baluchistan,2013
44920,Moscow City,1996
44922,Komi Republic,2010
44925,Vologda oblast,1997
44929,Novgorod oblast,1992
44942,Kabardian-Balkar Republic,2003
44962,Sverdlovsk oblast,1996
44964,Yamalo-Nenets autonomous area,2015
44979,Republic of Sakha (Yakutia),2006
44985,Sakhalin oblast,2016
50559,Ukraine (without Crimea & Sevastopol),2015
