study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,study_id2,e_mean,se,mean_logit,sd_logit,in_var
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.99,-1.89,0.99,0,0,,0,1,severe,0.5,0.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.89,0.73469387755102,2.09074109693377,7.5045339892852,0.116666666666667
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.73,-0.07,0.97,0,0,,2,3,severe,2.5,2.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.63,0.26530612244898,0.532216813747308,1.13816440347053,0.19414506867883
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.82,0.45,0.96,0,0,,4,5,severe,4.5,4.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.72,0.130102040816327,0.944461608840851,0.645347424684159,0.277241312033469
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.74,0.36,0.96,0,0,,6,7,severe,6.5,6.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.64,0.153061224489796,0.575364144903562,0.664328231292517,0.255603860169078
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.68,0.28,0.91,0,0,,8,9,severe,8.5,8.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.58,0.160714285714286,0.322773392263051,0.659746657283603,0.249443825784929
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.46,-0.15,0.77,0,0,,10,11,severe,10.5,10.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.36,0.23469387755102,-0.575364144903562,1.01863662131519,0.206418738616856
540,Dorabawila V,0,102,102,United States,US Omicron hosp 5-11,"",Pfizer & BioNTech,Omicron,severe,hosp,,5,11,0.48,-0.12,0.75,0,0,,12,13,severe,12.5,12.5,540&US Omicron hosp 5-11&Omicron&hosp&5&11,0.38,0.221938775510204,-0.489548225318706,0.942015176189321,0.212267452202093
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.94,0.76,0.99,0,0,,0,1,severe,0.5,0.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.84,0.0586734693877551,1.65822807660353,0.436558551992225,0.412837477233712
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.95,0.64,0.99,0,0,,2,3,severe,2.5,2.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.85,0.0892857142857143,1.73460105538811,0.700280112044818,0.33466401061363
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.85,0.63,0.95,0,0,,4,5,severe,4.5,4.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.75,0.0816326530612245,1.09861228866811,0.435374149659864,0.35
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.78,0.63,0.88,0,0,,6,7,severe,6.5,6.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.68,0.0637755102040816,0.75377180237638,0.293085984393758,0.395979797464467
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.74,0.61,0.84,0,0,,8,9,severe,8.5,8.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.64,0.0586734693877551,0.575364144903562,0.254659155328798,0.412837477233712
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.74,0.63,0.82,0,0,,10,11,severe,10.5,10.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.64,0.048469387755102,0.575364144903562,0.210370606575964,0.454219979166135
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.75,0.64,0.86,0,0,,12,13,severe,12.5,12.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.65,0.0561224489795918,0.619039208406224,0.246692083426777,0.422115882408869
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.75,0.61,0.83,0,0,,14,15,severe,14.5,14.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.65,0.0561224489795918,0.619039208406224,0.246692083426777,0.422115882408869
540,Dorabawila V,0,102,102,United States,US Omicron hosp 12-17,"",Pfizer & BioNTech,Omicron,severe,hosp,,12,17,0.73,0.53,0.87,0,0,,16,17,severe,16.5,16.5,540&US Omicron hosp 12-17&Omicron&hosp&12&17,0.63,0.086734693877551,0.532216813747308,0.372092208826903,0.339549875050866
545,Baum U,0,79,79,Finland,Finland Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,70,115,0.91,0.797,0.96,0,0,,2,12,severe,7,7,545&Finland Omicron hosp&Omicron&hosp&70&115,0.81,0.0415816326530612,1.450010175506,0.270186047128403,0.490398610872841
545,Baum U,0,79,79,Finland,Finland Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,70,115,0.759,0.56,0.86,0,0,,13,25,severe,19,19,545&Finland Omicron hosp&Omicron&hosp&70&115,0.659,0.076530612244898,0.658841057218991,0.340561377742416,0.361478445646026
545,Baum U,0,79,79,Finland,Finland Omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,70,115,0.612,0.48,0.709,0,0,,26,38,severe,32,32,545&Finland Omicron hosp&Omicron&hosp&70&115,0.512,0.0584183673469388,0.0480092191863607,0.233808142878053,0.413737887195879
1008,Price A,0,102,102,United States,US Omicron,"",Pfizer & BioNTech,Omicron,severe,severe,,12,18,0.43,-0.01,0.68,0,0,,2,22,severe,12,12,1008&US Omicron&Omicron&severe&12&18,0.33,0.176020408163265,-0.708185057924486,0.796112203361671,0.23835182861245
1008,Price A,0,102,102,United States,US Omicron,"",Pfizer & BioNTech,Omicron,severe,severe,,12,18,0.38,-0.03,0.62,0,0,,23,44,severe,33.5,33.5,1008&US Omicron&Omicron&severe&12&18,0.28,0.165816326530612,-0.944461608840851,0.822501619695497,0.245576245405968
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 18-64,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,64,0.528,0.181,0.728,0,0,,0,2,severe,1,1,554&UK 4 Omicron hosp 18-64&Omicron&hosp&18&64,0.428,0.139540816326531,-0.290015795798001,0.569982420783489,0.267700615882852
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 18-64,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,64,0.61,0.553,0.659,0,0,,3,24,severe,13.5,13.5,554&UK 4 Omicron hosp 18-64&Omicron&hosp&18&64,0.51,0.0270408163265306,0.0400053346136992,0.108206547925293,0.608121139868297
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 18-64,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,64,0.33,0.213,0.429,0,0,,25,32,severe,28.5,28.5,554&UK 4 Omicron hosp 18-64&Omicron&hosp&18&64,0.23,0.0551020408163265,-1.20831120592453,0.311135182475023,0.426006433615129
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 65-90,"",Pfizer & BioNTech,Omicron,severe,hosp,,65,90,0.858,0.694,0.934,0,0,,2,24,severe,13,13,554&UK 4 Omicron hosp 65-90&Omicron&hosp&65&90,0.758,0.0612244897959184,1.14174565948569,0.333764854204837,0.404145188432738
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 65-90,"",Pfizer & BioNTech,Omicron,severe,hosp,,65,90,0.756,0.614,0.846,0,0,,25,32,severe,28.5,28.5,554&UK 4 Omicron hosp 65-90&Omicron&hosp&65&90,0.656,0.0591836734693878,0.645519131570691,0.262264576846053,0.411054153660293
557,Buchan S,0,101,101,Canada,Canada adolescents omicron severe,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.76,-0.1,0.95,0,0,,1,8,severe,4.5,4.5,557&Canada adolescents omicron severe&Omicron&hosp&death&12&17,0.66,0.267857142857143,0.663294217410264,1.19365928189458,0.193218356615859
557,Buchan S,0,101,101,Canada,Canada adolescents omicron severe,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.83,0.55,0.93,0,0,,9,17,severe,13,13,557&Canada adolescents omicron severe&Omicron&hosp&death&12&17,0.73,0.0969387755102041,0.994622575144062,0.491825345054308,0.321182027418787
557,Buchan S,0,101,101,Canada,Canada adolescents omicron severe,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.82,0.64,0.91,0,0,,18,25,severe,21.5,21.5,557&Canada adolescents omicron severe&Omicron&hosp&death&12&17,0.72,0.0688775510204082,0.944461608840851,0.341654518950437,0.381031737766272
557,Buchan S,0,101,101,Canada,Canada adolescents omicron severe,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.88,0.77,0.94,0,0,,26,32,severe,29,29,557&Canada adolescents omicron severe&Omicron&hosp&death&12&17,0.78,0.0433673469387755,1.26566637333128,0.252723467009181,0.480196038399025
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.659,0.383,0.812,0,0,,0,2,severe,1,1,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.559,0.109438775510204,0.237104597708253,0.4439364734978,0.302283461961271
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.754,0.573,0.859,0,0,,3,4,severe,3.5,3.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.654,0.0729591836734694,0.636668576399475,0.322423077519707,0.370220119743562
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.821,0.707,0.891,0,0,,5,6,severe,5.5,5.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.721,0.0469387755102041,0.949427355463583,0.23334166261616,0.461566331377051
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.828,0.745,0.885,0,0,,7,8,severe,7.5,7.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.728,0.0357142857142857,0.984498981900689,0.180360605780774,0.529150262212918
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.812,0.734,0.867,0,0,,9,10,severe,9.5,9.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.712,0.0339285714285714,0.90511743127603,0.165460027644016,0.542896714030637
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.83,0.751,0.884,0,0,,11,12,severe,11.5,11.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.73,0.0339285714285714,0.994622575144062,0.172138870769008,0.542896714030637
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.898,0.821,0.942,0,0,,12,13,severe,12.5,12.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.798,0.0308673469387755,1.3738409000486,0.19148953409995,0.569180939727219
559,Florentino P,0,135,135,Brazil,Brazil adolscents Omicron hosp&death,"",Pfizer & BioNTech,Omicron,severe,hosp&death,,12,17,0.849,0.752,0.908,0,0,,14,17,severe,15.5,15.5,559&Brazil adolscents Omicron hosp&death&Omicron&hosp&death&12&17,0.749,0.0397959183673469,1.09328604438544,0.211681542813243,0.501280411827603
562,Gray G,0,196,196,South Africa,SA 1 Omicron,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.81,0.41,0.94,0,0,,0,2,severe,1,1,562&SA 1 Omicron&Omicron&hosp&18&80,0.71,0.135204081632653,0.895384047054841,0.656649255136732,0.271960041460034
562,Gray G,0,196,196,South Africa,SA 1 Omicron,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.88,0.62,0.96,0,0,,3,4,severe,3.5,3.5,562&SA 1 Omicron&Omicron&hosp&18&80,0.78,0.086734693877551,1.26566637333128,0.505446934018363,0.339549875050866
562,Gray G,0,196,196,South Africa,SA 1 Omicron,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.7,0.64,0.76,0,0,,5,12,severe,8.5,8.5,562&SA 1 Omicron&Omicron&hosp&18&80,0.6,0.0306122448979592,0.405465108108164,0.127551020408163,0.571547606649408
562,Gray G,0,196,196,South Africa,SA 1 Omicron,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.71,0.68,0.74,0,0,,13,21,severe,17,17,562&SA 1 Omicron&Omicron&hosp&18&80,0.61,0.0153061224489796,0.447312218043665,0.064338471832617,0.808290376865477
562,Gray G,0,196,196,South Africa,SA 1 Omicron,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,80,0.67,0.63,0.71,0,0,,22,29,severe,25.5,25.5,562&SA 1 Omicron&Omicron&hosp&18&80,0.57,0.0204081632653061,0.281851152140988,0.0832646400053289,0.7
1013,Tartof S,0,102,102,United States,US omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,65,0.54,0.38,0.65,0,0,,2,23,severe,12.5,12.5,1013&US omicron hosp&Omicron&hosp&18&65,0.44,0.0688775510204082,-0.241162056816888,0.279535515504903,0.381031737766272
1013,Tartof S,0,102,102,United States,US omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,65,0.32,0.16,0.48,0,0,,24,48,severe,36,36,1013&US omicron hosp&Omicron&hosp&18&65,0.22,0.0816326530612245,-1.26566637333128,0.475714761429047,0.35
1013,Tartof S,0,102,102,United States,US omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,65,0.56,-0.02,0.81,0,0,,2,23,severe,12.5,12.5,1013&US omicron hosp&Omicron&hosp&18&65,0.46,0.211734693877551,-0.160342650075179,0.852394097735713,0.217322147197773
1013,Tartof S,0,102,102,United States,US omicron hosp,"",Pfizer & BioNTech,Omicron,severe,hosp,,18,65,0.56,0.28,0.73,0,0,,24,48,severe,36,36,1013&US omicron hosp&Omicron&hosp&18&65,0.46,0.114795918367347,-0.160342650075179,0.462141378290447,0.295145914949049
