mid_point,pred_lo,pred_hi,ve_lower,ve_upper
3.7,-0.994984832695362,1.6797174347573,0.269928604985998,0.842867111193545
3.8,-0.994984831695838,1.66557680058524,0.269928605182971,0.840985202475866
3.9,-0.994984830696314,1.65291988314968,0.269928605379944,0.839285290580601
4,-0.99498482969679,1.64026296571413,0.269928605576918,0.837570716031763
4.1,-0.994984828697267,1.62760604827857,0.269928605773891,0.835841427413464
4.2,-0.994984827697743,1.61494913084302,0.269928605970864,0.834097374800886
4.3,-0.994984826698219,1.60229221340746,0.269928606167837,0.832338509798388
4.4,-0.994984825698696,1.5896352959719,0.269928606364811,0.83056478557779
4.5,-0.994984824699172,1.57697837853635,0.269928606561784,0.828776156916801
4.6,-0.994984823699648,1.56922374123605,0.269928606758757,0.827672918283158
4.7,-0.994984822700124,1.56382912269265,0.269928606955731,0.82690212071948
4.8,-0.994984821700601,1.55843450414925,0.269928607152704,0.826128599737745
4.9,-0.994984820701077,1.55303988560585,0.269928607349677,0.825352352193808
5,-0.994984819701553,1.54764526706245,0.269928607546651,0.824573375000945
5.1,-0.995133524569995,1.54225064851905,0.269899303704004,0.823791665130401
5.2,-0.995572273642912,1.53685602997566,0.269812855318078,0.82300721961194
5.3,-0.996011022715829,1.53146141143226,0.269726424391994,0.822220035534393
5.4,-0.996449771788746,1.51968058375841,0.269640010928778,0.820491440111831
5.5,-0.996888520861664,1.50746270102638,0.269553614931455,0.81868487481718
5.6,-0.997327269934581,1.49507474452037,0.269467236403042,0.816838742513495
5.7,-0.997766019007498,1.48268678801436,0.269380875346553,0.814978061209686
5.8,-0.998204768080415,1.47029883150835,0.269294531764997,0.813102802699764
5.9,-0.998643517153332,1.45791087500234,0.269208205661379,0.811212940588554
6,-0.999082266226249,1.44552291849633,0.269121897038699,0.809308450326654
6.1,-0.999521015299166,1.43313496199032,0.269035605899952,0.807389309245314
6.2,-0.999959764372084,1.42074700548431,0.26894933224813,0.805455496591231
6.3,-1.000398513445,1.41172178924532,0.268863076086218,0.804037372967459
6.4,-1.00083726251792,1.40213383319,0.268776837417198,0.802522277334741
6.5,-1.00127601159084,1.38791409604912,0.268690616244047,0.800259031663255
6.6,-1.00171476066375,1.37332333170351,0.268604412569738,0.797916557185073
6.7,-1.00215350973667,1.35880722295425,0.268518226397239,0.795565771804481
6.8,-1.00259225880959,1.34641926644824,0.268432057729514,0.793543605512173
6.9,-1.0030310078825,1.33400009819994,0.26834590656952,0.791501528172269
7,-1.00346975695542,1.31773043112207,0.268259772920213,0.788803861580367
7.1,-1.00390850602834,1.30033799562879,0.268173656784542,0.785891861657766
7.2,-1.00434725510125,1.28576526761037,0.268087558165452,0.78342955433724
7.3,-1.00464397461843,1.27118798128421,0.268029340871435,0.780946042891307
7.4,-1.00465522362868,1.2565972169386,0.268027133938224,0.77843978149457
7.5,-1.00466647263892,1.24200645259299,0.268024927016531,0.775913073270391
7.6,-1.00467772164916,1.22741568824737,0.268022720106356,0.773365939222485
7.7,-1.00468897065941,1.21282492390176,0.268020513207699,0.770798405078885
7.8,-1.00470021966965,1.19823415955615,0.268018306320559,0.768210501358886
7.9,-1.0047114686799,1.18364339521053,0.268016099444938,0.765602263438577
8,-1.00472271769014,1.16905263086492,0.268013892580835,0.762973731614852
8.1,-1.00473396670038,1.15446186651931,0.26801168572825,0.760324951167833
8.2,-1.00474521571063,1.14095828874967,0.268009478887183,0.757855538522989
8.3,-1.00475646472087,1.13278628499929,0.268007272057634,0.756352731508821
8.4,-1.00476771373111,1.12461428124892,0.268005065239603,0.754843614804135
8.5,-1.00477896274136,1.11644227749854,0.268002858433091,0.753328199295203
8.6,-1.0047902117516,1.10827027374816,0.268000651638097,0.751806496381758
8.7,-1.00479342892524,1.10009826999778,0.268000020505339,0.750278517979934
8.8,-1.00479342793367,1.08803355079644,0.268000020699862,0.748011245567812
8.9,-1.00479342694209,1.07361913663599,0.268000020894385,0.74528456606309
9,-1.00479342595052,1.05499189665035,0.268000021088908,0.741732327612392
9.1,-1.00479342495895,1.03636465666471,0.268000021283431,0.738147955316571
