"modelable_entity_id","cause_id","rei_id","n_code","sequela_id","healthstate_id"
16933,699,297,"N9",-9,-9
16934,713,250,"N1",-1,-1
16935,713,251,"N10",-10,-10
16936,713,252,"N11",-11,-11
16937,713,253,"N12",-12,-12
16938,713,254,"N13",-13,-13
16939,713,255,"N14",-14,-14
16940,713,256,"N15",-15,-15
16941,713,257,"N16",-16,-16
16942,713,258,"N17",-17,-17
16943,713,259,"N18",-18,-18
16944,713,260,"N19",-19,-19
16945,713,261,"N2",-2,-2
16946,713,262,"N20",-20,-20
16947,713,263,"N21",-21,-21
16948,713,264,"N22",-22,-22
16949,713,265,"N23",-23,-23
16950,713,266,"N24",-24,-24
16951,713,267,"N25",-25,-25
16952,713,268,"N26",-26,-26
16953,713,269,"N27",-27,-27
16954,713,270,"N28",-28,-28
16955,713,272,"N3",-3,-3
16956,713,273,"N30",-30,-30
16957,713,274,"N31",-31,-31
16958,713,275,"N32",-32,-32
16959,713,276,"N33",-55,-55
16964,713,277,"N34",-56,-56
16969,713,278,"N35",-41,-41
16970,713,279,"N36",-42,-42
16971,713,280,"N37",-43,-43
16972,713,281,"N38",-44,-44
16973,713,282,"N39",-45,-45
16974,713,283,"N4",-4,-4
16975,713,284,"N40",-46,-46
16976,713,285,"N41",-47,-47
16977,713,286,"N42",-48,-48
16978,713,287,"N43",-49,-49
16979,713,288,"N44",-50,-50
16980,713,289,"N45",-51,-51
16981,713,290,"N46",-52,-52
16982,713,291,"N47",-53,-53
16983,713,292,"N48",-54,-54
16984,713,293,"N5",-5,-5
16985,713,294,"N6",-6,-6
16986,713,295,"N7",-7,-7
16987,713,296,"N8",-8,-8
16988,713,297,"N9",-9,-9
16989,714,250,"N1",-1,-1
16990,714,251,"N10",-10,-10
16991,714,252,"N11",-11,-11
16992,714,253,"N12",-12,-12
16993,714,254,"N13",-13,-13
16994,714,255,"N14",-14,-14
16995,714,256,"N15",-15,-15
16996,714,257,"N16",-16,-16
16997,714,258,"N17",-17,-17
16998,714,259,"N18",-18,-18
16999,714,260,"N19",-19,-19
17000,714,261,"N2",-2,-2
17001,714,262,"N20",-20,-20
17002,714,263,"N21",-21,-21
17003,714,264,"N22",-22,-22
17004,714,265,"N23",-23,-23
17005,714,266,"N24",-24,-24
17006,714,267,"N25",-25,-25
17007,714,268,"N26",-26,-26
17008,714,269,"N27",-27,-27
17009,714,270,"N28",-28,-28
17010,714,272,"N3",-3,-3
17011,714,273,"N30",-30,-30
17012,714,274,"N31",-31,-31
17013,714,275,"N32",-32,-32
17014,714,276,"N33",-55,-55
17019,714,277,"N34",-56,-56
17024,714,278,"N35",-41,-41
17025,714,279,"N36",-42,-42
17026,714,280,"N37",-43,-43
17027,714,281,"N38",-44,-44
17028,714,282,"N39",-45,-45
17029,714,283,"N4",-4,-4
17030,714,284,"N40",-46,-46
17031,714,285,"N41",-47,-47
17032,714,286,"N42",-48,-48
17033,714,287,"N43",-49,-49
17034,714,288,"N44",-50,-50
17035,714,289,"N45",-51,-51
17036,714,290,"N46",-52,-52
