mid_point,pred5,pred_lo,pred_hi,pinf,pinf_lower,pinf_upper
18.9,2.48802591082689,1.49456751688161,3.77333594655131,0.930968305283532,0.816762842361392,0.977540717586649
19,2.48301535749514,1.49445878313356,3.76817557844238,0.930648270367871,0.816746568566621,0.977427142782795
19.1,2.47800480416339,1.49435004938551,3.76275420351089,0.930326876153794,0.816730293650838,0.977307219128713
19.2,2.47299425083163,1.49424131563746,3.75970899756478,0.930004118022914,0.816714017614025,0.977239584849663
19.3,2.46798369749988,1.49418508876986,3.75965808464538,0.929679991351953,0.816705600738884,0.977238452397716
19.4,2.46297314416813,1.48935026802521,3.7594843754933,0.929354491512842,0.815980731339732,0.977234588184881
19.5,2.45796259083637,1.48367174421399,3.75715763687678,0.929027613872839,0.81512653551911,0.977182767368431
19.6,2.45295203750462,1.47799322040277,3.75035076643079,0.928699353794634,0.814269277138946,0.977030503272078
19.7,2.44794148417287,1.47277945232381,3.75022688369498,0.928369706636466,0.81347948154206,0.977027722943937
19.8,2.44293093084112,1.47263385009469,3.74695688256279,0.928038667752232,0.813457388217968,0.976954214636255
19.9,2.43792037750936,1.47248824786557,3.74212541788459,0.927706232491604,0.813435292877101,0.976845184733862
20,2.43290982417761,1.47234264563646,3.73729395320638,0.927372396200145,0.813413195519418,0.976735651292958
20.1,2.42789927084586,1.47219704340734,3.73237475393115,0.927037154219423,0.813391096144876,0.976623609213088
20.2,2.42288871751411,1.47205144117822,3.73162364037864,0.926700501887136,0.813368994753433,0.976606455199097
20.3,2.41787816418235,1.47190583894911,3.73065327517133,0.926362434537224,0.813346891345048,0.976584275701324
20.4,2.4128676108506,1.46705930401731,3.72283211963925,0.926022947499998,0.812610003190052,0.976404757761908
20.5,2.40785705751885,1.46213414746228,3.71939713757032,0.925682036102256,0.811858870078911,0.976325491267151
20.6,2.4028465041871,1.45720899090725,3.71923981467621,0.925339695667409,0.81110542601147,0.976321854629117
20.7,2.39783595085534,1.45228383435221,3.7190824917821,0.924995921515608,0.810349669486769,0.97631821744601
20.8,2.39282539752359,1.44738611248396,3.718925168888,0.924650708963868,0.809595828155385,0.976314579717752
20.9,2.38781484419184,1.44252674973274,3.71876784599389,0.924304053326195,0.808845628177406,0.976310941444265
21,2.38280429086008,1.43766738698153,3.71861052309978,0.92395594991372,0.80809317302966,0.976307302625472
21.1,2.37779373752833,1.43280802423031,3.71845320020567,0.923606394034823,0.807338461452054,0.976303663261295
21.2,2.37278318419658,1.42794866147909,3.71829587731156,0.92325538099527,0.806581492230371,0.976300023351657
21.3,2.36777263086483,1.42308929872787,3.71813855441745,0.922902906098342,0.805822264196586,0.976296382896481
21.4,2.36276207753307,1.41822993597665,3.71798123152334,0.922548964644973,0.805060776229194,0.976292741895688
21.5,2.35775152420132,1.41337057322544,3.71782390862923,0.922193551933885,0.804297027253523,0.976289100349201
21.6,2.35274097086957,1.40851121047422,3.71766658573512,0.921836663261723,0.803531016242058,0.976285458256942
