study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,study_id2,e_mean,se,mean_logit,sd_logit,in_var
513,Dan-Yu L,0,102,102,United States,US NC mixed deaths,"",Moderna,Delta,severe,death,,18,65,0.9,0.79,0.95,0,0,,29,32,severe,30.5,30.5,Non_Omicron,513&US NC mixed deaths&Delta&death&18&65,0.8,0.0408163265306122,1.38629436111989,0.255102040816327,0.494974746830583
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Moderna,Delta,severe,hosp,,18,80,0.95,0.8,0.99,0,0,,0,1,severe,0.5,0.5,Non_Omicron,1001&Canada(British Columbia/Delta) hosp&Delta&hosp&18&80,0.85,0.048469387755102,1.73460105538811,0.38015206082433,0.454219979166135
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Moderna,Delta,severe,hosp,,18,80,0.98,0.89,0.99,0,0,,2,3,severe,2.5,2.5,Non_Omicron,1001&Canada(British Columbia/Delta) hosp&Delta&hosp&18&80,0.88,0.0255102040816327,1.99243016469021,0.241573902288188,0.626099033699941
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Moderna,Delta,severe,hosp,,18,80,0.99,0.96,0.99,0,0,,4,7,severe,5.5,5.5,Non_Omicron,1001&Canada(British Columbia/Delta) hosp&Delta&hosp&18&80,0.89,0.0076530612244898,2.09074109693377,0.0781722290550542,1.14309521329882
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Moderna,Delta,severe,hosp,,18,80,0.98,0.95,0.99,0,0,,8,11,severe,9.5,9.5,Non_Omicron,1001&Canada(British Columbia/Delta) hosp&Delta&hosp&18&80,0.88,0.0102040816326531,1.99243016469021,0.0966295609152753,0.989949493661166
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Moderna,Delta,severe,hosp,,18,80,0.96,0.92,0.98,0,0,,12,15,severe,13.5,13.5,Non_Omicron,1001&Canada(British Columbia/Delta) hosp&Delta&hosp&18&80,0.86,0.0153061224489796,1.81528996663825,0.127127262865279,0.808290376865477
1001,Skowronski D,0,101,101,Canada,Canada(British Columbia/Delta) hosp,"",Moderna,Delta,severe,hosp,,18,80,0.84,0.63,0.93,0,0,,16,19,severe,17.5,17.5,Non_Omicron,1001&Canada(British Columbia/Delta) hosp&Delta&hosp&18&80,0.74,0.076530612244898,1.04596855518269,0.397768254911112,0.361478445646026
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Moderna,Delta,severe,hosp,,18,49,0.968,0.947,0.982,0,0,,0,4,severe,2,2,Non_Omicron,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.868,0.00892857142857144,1.88338979207398,0.0779270652542543,1.05830052442584
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Moderna,Delta,severe,hosp,,18,49,0.92,0.866,0.955,0,0,,5,8,severe,6.5,6.5,Non_Omicron,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.82,0.0227040816326531,1.51634748936809,0.153821691278137,0.663663648395968
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Moderna,Delta,severe,hosp,,18,49,0.961,0.929,0.982,0,0,,9,12,severe,10.5,10.5,Non_Omicron,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.861,0.0135204081632653,1.82362057129704,0.112972268846375,0.860013163567532
