study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,study_id2,e_mean,se,mean_logit,sd_logit,in_var
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Johnson & Johnson,Delta,severe,hosp,,65,100,0.809,0.727,0.871,0,0,,5,8,severe,6.5,6.5,Non_Omicron,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.709,0.036734693877551,0.890532259360635,0.178048041516055,0.521749194749951
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Johnson & Johnson,Delta,severe,hosp,,65,100,0.824,0.745,0.884,0,0,,9,12,severe,10.5,10.5,Non_Omicron,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.724,0.0354591836734694,0.964390526668566,0.177452076194398,0.531050269267617
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Johnson & Johnson,Delta,severe,hosp,,65,100,0.828,0.79,0.861,0,0,,13,16,severe,14.5,14.5,Non_Omicron,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.728,0.0181122448979592,0.984498981900689,0.0914685929316781,0.743042849407986
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Johnson & Johnson,Delta,severe,hosp,,12,49,0.93,0.84,0.97,0,0,,0,4,severe,2,2,Non_Omicron,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.83,0.0331632653061225,1.58562726374038,0.235033772545163,0.549125178386915
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Johnson & Johnson,Delta,severe,hosp,,12,49,0.96,0.89,0.99,0,0,,5,9,severe,7,7,Non_Omicron,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.86,0.0255102040816327,1.81528996663825,0.211878771442132,0.626099033699941
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Johnson & Johnson,Delta,severe,hosp,,12,49,0.93,0.82,0.97,0,0,,10,14,severe,12,12,Non_Omicron,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.83,0.038265306122449,1.58562726374038,0.271192814475188,0.511207720338155
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Johnson & Johnson,Delta,severe,hosp,,12,49,0.91,0.64,0.98,0,0,,15,19,severe,17,17,Non_Omicron,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.81,0.086734693877551,1.450010175506,0.563578257813847,0.339549875050866
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Johnson & Johnson,Delta,severe,hosp,,50,69,0.87,0.79,0.92,0,0,,0,4,severe,2,2,Non_Omicron,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.77,0.0331632653061225,1.20831120592453,0.187257285748856,0.549125178386915
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Johnson & Johnson,Delta,severe,hosp,,50,69,0.96,0.92,0.98,0,0,,5,9,severe,7,7,Non_Omicron,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.86,0.0153061224489796,1.81528996663825,0.127127262865279,0.808290376865477
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Johnson & Johnson,Delta,severe,hosp,,50,69,0.95,0.89,0.97,0,0,,10,14,severe,12,12,Non_Omicron,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.85,0.0204081632653061,1.73460105538811,0.160064025610244,0.7
