study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,vaccine_type,study_id2,e_mean,se,mean_logit,sd_logit,in_var
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Johnson & Johnson,Delta,Severe,hosp,,50,64,0.91,0.826,0.959,0,0,,5,8,severe,6.5,6.5,Non_Omicron,non_mRNA,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.9,0.0418871252204586,2.19722457733622,0.46541250244954,0.488607042627573
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Johnson & Johnson,Delta,Severe,hosp,,50,64,0.904,0.83,0.951,0,0,,9,12,severe,10.5,10.5,Non_Omicron,non_mRNA,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.893333333333333,0.0381078357268833,2.12525107771113,0.399918985006937,0.512262845754497
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Johnson & Johnson,Delta,Severe,hosp,,50,64,0.928,0.901,0.95,0,0,,13,16,severe,14.5,14.5,Non_Omicron,non_mRNA,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.92,0.0154320987654321,2.44234703536921,0.20967525496511,0.804984471899925
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Johnson & Johnson,Delta,Severe,hosp,,65,100,0.855,0.815,0.888,0,0,,0,4,severe,2,2,Non_Omicron,non_mRNA,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.838888888888889,0.0229906777525825,1.64998400682845,0.170106864394536,0.659514142463669
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Johnson & Johnson,Delta,Severe,hosp,,65,100,0.809,0.727,0.871,0,0,,5,8,severe,6.5,6.5,Non_Omicron,non_mRNA,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.787777777777778,0.0453514739229025,1.3115820984855,0.271266911419749,0.469574275274956
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Johnson & Johnson,Delta,Severe,hosp,,65,100,0.824,0.745,0.884,0,0,,9,12,severe,10.5,10.5,Non_Omicron,non_mRNA,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.804444444444444,0.0437767699672462,1.41430739734756,0.278277119486669,0.477945242340855
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Johnson & Johnson,Delta,Severe,hosp,,65,100,0.828,0.79,0.861,0,0,,13,16,severe,14.5,14.5,Non_Omicron,non_mRNA,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.808888888888889,0.02236079617032,1.44280657138323,0.14464800742684,0.668738564467187
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",AstraZeneca,Delta,Severe,hosp,,12,49,0.96,0.85,0.99,0,0,,5,9,severe,7,7,Non_Omicron,non_mRNA,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.955555555555555,0.0440917107583774,3.06805293513361,1.03820598006643,0.476235235991626
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",AstraZeneca,Delta,Severe,hosp,,12,49,0.91,0.76,0.97,0,0,,10,14,severe,12,12,Non_Omicron,non_mRNA,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.9,0.0661375661375661,2.19722457733622,0.734861845972957,0.388844441904472
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",AstraZeneca,Delta,Severe,hosp,,12,49,0.96,0.74,0.99,0,0,,15,19,severe,17,17,Non_Omicron,non_mRNA,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.955555555555555,0.0787351977828168,3.06805293513361,1.85393925011863,0.35638181771802
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",AstraZeneca,Delta,Severe,hosp,,12,49,0.68,-0.3,0.92,0,0,,20,24,severe,22,22,Non_Omicron,non_mRNA,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.644444444444444,0.384227765180146,0.594707107746691,1.67685608726249,0.161326468715449
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",AstraZeneca,Delta,Severe,hosp,,50,69,0.97,0.95,0.98,0,0,,0,4,severe,2,2,Non_Omicron,non_mRNA,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.966666666666667,0.00944822373393803,3.36729582998648,0.293220736570493,1.02878569196893
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",AstraZeneca,Delta,Severe,hosp,,50,69,0.95,0.93,0.96,0,0,,5,9,severe,7,7,Non_Omicron,non_mRNA,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.944444444444444,0.00944822373393799,2.83321334405621,0.180072028811523,1.02878569196894
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",AstraZeneca,Delta,Severe,hosp,,50,69,0.93,0.91,0.95,0,0,,10,14,severe,12,12,Non_Omicron,non_mRNA,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.922222222222222,0.0125976316452507,2.47293045874128,0.175629632231549,0.890954544295051
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",AstraZeneca,Delta,Severe,hosp,,50,69,0.92,0.88,0.94,0,0,,15,19,severe,17,17,Non_Omicron,non_mRNA,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.911111111111111,0.018896447467876,2.32727770558442,0.233325037332005,0.727461339178929
