product_type,variable,year
ensemble_spread,surface_pressure,2001
ensemble_spread,surface_pressure,2002
ensemble_spread,surface_pressure,2003
ensemble_spread,surface_pressure,2004
ensemble_spread,surface_pressure,2005
ensemble_spread,surface_pressure,2006
ensemble_spread,surface_pressure,2007
ensemble_spread,surface_pressure,2008
ensemble_spread,surface_pressure,2009
ensemble_spread,surface_pressure,2010
ensemble_spread,surface_pressure,2011
ensemble_spread,surface_pressure,2012
ensemble_spread,surface_pressure,2013
ensemble_spread,surface_pressure,2014
ensemble_spread,surface_pressure,2015
ensemble_spread,surface_pressure,2016
ensemble_spread,surface_pressure,2017
ensemble_spread,surface_pressure,2018
ensemble_spread,surface_pressure,2019
ensemble_spread,surface_pressure,2020
ensemble_spread,surface_pressure,2021
ensemble_spread,surface_solar_radiation_downwards,1980
ensemble_spread,surface_solar_radiation_downwards,1981
ensemble_spread,surface_solar_radiation_downwards,1982
ensemble_spread,surface_solar_radiation_downwards,1983
ensemble_spread,surface_solar_radiation_downwards,1984
ensemble_spread,surface_solar_radiation_downwards,1985
ensemble_spread,surface_solar_radiation_downwards,1986
ensemble_spread,surface_solar_radiation_downwards,1987
ensemble_spread,surface_solar_radiation_downwards,1988
ensemble_spread,surface_solar_radiation_downwards,1989
ensemble_spread,surface_solar_radiation_downwards,1990
ensemble_spread,surface_solar_radiation_downwards,1991
ensemble_spread,surface_solar_radiation_downwards,1992
ensemble_spread,surface_solar_radiation_downwards,1993
ensemble_spread,surface_solar_radiation_downwards,1994
ensemble_spread,surface_solar_radiation_downwards,1995
ensemble_spread,surface_solar_radiation_downwards,1996
ensemble_spread,surface_solar_radiation_downwards,1997
ensemble_spread,surface_solar_radiation_downwards,1998
ensemble_spread,surface_solar_radiation_downwards,1999
ensemble_spread,surface_solar_radiation_downwards,2000
ensemble_spread,surface_solar_radiation_downwards,2001
ensemble_spread,surface_solar_radiation_downwards,2002
ensemble_spread,surface_solar_radiation_downwards,2003
ensemble_spread,surface_solar_radiation_downwards,2004
ensemble_spread,surface_solar_radiation_downwards,2005
ensemble_spread,surface_solar_radiation_downwards,2006
ensemble_spread,surface_solar_radiation_downwards,2007
ensemble_spread,surface_solar_radiation_downwards,2008
ensemble_spread,surface_solar_radiation_downwards,2009
ensemble_spread,surface_solar_radiation_downwards,2010
ensemble_spread,surface_solar_radiation_downwards,2011
ensemble_spread,surface_solar_radiation_downwards,2012
ensemble_spread,surface_solar_radiation_downwards,2013
ensemble_spread,surface_solar_radiation_downwards,2014
ensemble_spread,surface_solar_radiation_downwards,2015
ensemble_spread,surface_solar_radiation_downwards,2016
ensemble_spread,surface_solar_radiation_downwards,2017
ensemble_spread,surface_solar_radiation_downwards,2018
ensemble_spread,surface_solar_radiation_downwards,2019
ensemble_spread,surface_solar_radiation_downwards,2020
ensemble_spread,surface_solar_radiation_downwards,2021
reanalysis,10m_u_component_of_wind,1980
reanalysis,10m_u_component_of_wind,1981
reanalysis,10m_u_component_of_wind,1982
reanalysis,10m_u_component_of_wind,1983
reanalysis,10m_u_component_of_wind,1984
reanalysis,10m_u_component_of_wind,1985
reanalysis,10m_u_component_of_wind,1986
reanalysis,10m_u_component_of_wind,1987
reanalysis,10m_u_component_of_wind,1988
reanalysis,10m_u_component_of_wind,1989
reanalysis,10m_u_component_of_wind,1990
reanalysis,10m_u_component_of_wind,1991
reanalysis,10m_u_component_of_wind,1992
reanalysis,10m_u_component_of_wind,1993
reanalysis,10m_u_component_of_wind,1994
reanalysis,10m_u_component_of_wind,1995
reanalysis,10m_u_component_of_wind,1996
reanalysis,10m_u_component_of_wind,1997
reanalysis,10m_u_component_of_wind,1998
reanalysis,10m_u_component_of_wind,1999
reanalysis,10m_u_component_of_wind,2000
reanalysis,10m_u_component_of_wind,2001
reanalysis,10m_u_component_of_wind,2002
reanalysis,10m_u_component_of_wind,2003
reanalysis,10m_u_component_of_wind,2004
reanalysis,10m_u_component_of_wind,2005
reanalysis,10m_u_component_of_wind,2006
reanalysis,10m_u_component_of_wind,2007
reanalysis,10m_u_component_of_wind,2008
reanalysis,10m_u_component_of_wind,2009
reanalysis,10m_u_component_of_wind,2010
reanalysis,10m_u_component_of_wind,2011
reanalysis,10m_u_component_of_wind,2012
reanalysis,10m_u_component_of_wind,2013
reanalysis,10m_u_component_of_wind,2014
reanalysis,10m_u_component_of_wind,2015
reanalysis,10m_u_component_of_wind,2016
reanalysis,10m_u_component_of_wind,2017
reanalysis,10m_u_component_of_wind,2018
reanalysis,10m_u_component_of_wind,2019
reanalysis,10m_u_component_of_wind,2020
reanalysis,10m_u_component_of_wind,2021
reanalysis,10m_v_component_of_wind,1980
reanalysis,10m_v_component_of_wind,1981
reanalysis,10m_v_component_of_wind,1982
reanalysis,10m_v_component_of_wind,1983
reanalysis,10m_v_component_of_wind,1984
reanalysis,10m_v_component_of_wind,1985
reanalysis,10m_v_component_of_wind,1986
reanalysis,10m_v_component_of_wind,1987
reanalysis,10m_v_component_of_wind,1988
reanalysis,10m_v_component_of_wind,1989
reanalysis,10m_v_component_of_wind,1990
reanalysis,10m_v_component_of_wind,1991
reanalysis,10m_v_component_of_wind,1992
reanalysis,10m_v_component_of_wind,1993
reanalysis,10m_v_component_of_wind,1994
reanalysis,10m_v_component_of_wind,1995
reanalysis,10m_v_component_of_wind,1996
reanalysis,10m_v_component_of_wind,1997
reanalysis,10m_v_component_of_wind,1998
reanalysis,10m_v_component_of_wind,1999
reanalysis,10m_v_component_of_wind,2000
reanalysis,10m_v_component_of_wind,2001
reanalysis,10m_v_component_of_wind,2002
reanalysis,10m_v_component_of_wind,2003
reanalysis,10m_v_component_of_wind,2004
reanalysis,10m_v_component_of_wind,2005
reanalysis,10m_v_component_of_wind,2006
reanalysis,10m_v_component_of_wind,2007
reanalysis,10m_v_component_of_wind,2008
reanalysis,10m_v_component_of_wind,2009
reanalysis,10m_v_component_of_wind,2010
reanalysis,10m_v_component_of_wind,2011
reanalysis,10m_v_component_of_wind,2012
reanalysis,10m_v_component_of_wind,2013
reanalysis,10m_v_component_of_wind,2014
reanalysis,10m_v_component_of_wind,2015
reanalysis,10m_v_component_of_wind,2016
reanalysis,10m_v_component_of_wind,2017
reanalysis,10m_v_component_of_wind,2018
reanalysis,10m_v_component_of_wind,2019
reanalysis,10m_v_component_of_wind,2020
reanalysis,10m_v_component_of_wind,2021
reanalysis,2m_dewpoint_temperature,1980
reanalysis,2m_dewpoint_temperature,1981
reanalysis,2m_dewpoint_temperature,1982
reanalysis,2m_dewpoint_temperature,1983
reanalysis,2m_dewpoint_temperature,1984
reanalysis,2m_dewpoint_temperature,1985
reanalysis,2m_dewpoint_temperature,1986
reanalysis,2m_dewpoint_temperature,1987
reanalysis,2m_dewpoint_temperature,1988
reanalysis,2m_dewpoint_temperature,1989
reanalysis,2m_dewpoint_temperature,1990
reanalysis,2m_dewpoint_temperature,1991
reanalysis,2m_dewpoint_temperature,1992
reanalysis,2m_dewpoint_temperature,1993
reanalysis,2m_dewpoint_temperature,1994
reanalysis,2m_dewpoint_temperature,1995
reanalysis,2m_dewpoint_temperature,1996
reanalysis,2m_dewpoint_temperature,1997
reanalysis,2m_dewpoint_temperature,1998
reanalysis,2m_dewpoint_temperature,1999
reanalysis,2m_dewpoint_temperature,2000
reanalysis,2m_dewpoint_temperature,2001
reanalysis,2m_dewpoint_temperature,2002
reanalysis,2m_dewpoint_temperature,2003
reanalysis,2m_dewpoint_temperature,2004
reanalysis,2m_dewpoint_temperature,2005
reanalysis,2m_dewpoint_temperature,2006
reanalysis,2m_dewpoint_temperature,2007
reanalysis,2m_dewpoint_temperature,2008
reanalysis,2m_dewpoint_temperature,2009
reanalysis,2m_dewpoint_temperature,2010
reanalysis,2m_dewpoint_temperature,2011
reanalysis,2m_dewpoint_temperature,2012
reanalysis,2m_dewpoint_temperature,2013
reanalysis,2m_dewpoint_temperature,2014
reanalysis,2m_dewpoint_temperature,2015
reanalysis,2m_dewpoint_temperature,2016
reanalysis,2m_dewpoint_temperature,2017
reanalysis,2m_dewpoint_temperature,2018
reanalysis,2m_dewpoint_temperature,2019
reanalysis,2m_dewpoint_temperature,2020
reanalysis,2m_dewpoint_temperature,2021
reanalysis,2m_temperature,1980
reanalysis,2m_temperature,1981
reanalysis,2m_temperature,1982
reanalysis,2m_temperature,1983
reanalysis,2m_temperature,1984
reanalysis,2m_temperature,1985
reanalysis,2m_temperature,1986
reanalysis,2m_temperature,1987
reanalysis,2m_temperature,1988
reanalysis,2m_temperature,1989
reanalysis,2m_temperature,1990
reanalysis,2m_temperature,1991
reanalysis,2m_temperature,1992
reanalysis,2m_temperature,1993
reanalysis,2m_temperature,1994
reanalysis,2m_temperature,1995
reanalysis,2m_temperature,1996
reanalysis,2m_temperature,1997
reanalysis,2m_temperature,1998
reanalysis,2m_temperature,1999
reanalysis,2m_temperature,2000
reanalysis,2m_temperature,2001
reanalysis,2m_temperature,2002
reanalysis,2m_temperature,2003
reanalysis,2m_temperature,2004
reanalysis,2m_temperature,2005
reanalysis,2m_temperature,2006
reanalysis,2m_temperature,2007
reanalysis,2m_temperature,2008
reanalysis,2m_temperature,2009
reanalysis,2m_temperature,2010
reanalysis,2m_temperature,2011
reanalysis,2m_temperature,2012
reanalysis,2m_temperature,2013
reanalysis,2m_temperature,2014
reanalysis,2m_temperature,2015
reanalysis,2m_temperature,2016
reanalysis,2m_temperature,2017
reanalysis,2m_temperature,2018
reanalysis,2m_temperature,2019
reanalysis,2m_temperature,2020
reanalysis,2m_temperature,2021
reanalysis,surface_pressure,1980
reanalysis,surface_pressure,1981
reanalysis,surface_pressure,1982
reanalysis,surface_pressure,1983
reanalysis,surface_pressure,1984
reanalysis,surface_pressure,1985
reanalysis,surface_pressure,1986
reanalysis,surface_pressure,1987
reanalysis,surface_pressure,1988
reanalysis,surface_pressure,1989
reanalysis,surface_pressure,1990
reanalysis,surface_pressure,1991
reanalysis,surface_pressure,1992
reanalysis,surface_pressure,1993
reanalysis,surface_pressure,1994
reanalysis,surface_pressure,1995
reanalysis,surface_pressure,1996
reanalysis,surface_pressure,1997
reanalysis,surface_pressure,1998
reanalysis,surface_pressure,1999
reanalysis,surface_pressure,2000
reanalysis,surface_pressure,2001
reanalysis,surface_pressure,2002
reanalysis,surface_pressure,2003
reanalysis,surface_pressure,2004
reanalysis,surface_pressure,2005
reanalysis,surface_pressure,2006
reanalysis,surface_pressure,2007
reanalysis,surface_pressure,2008
reanalysis,surface_pressure,2009
reanalysis,surface_pressure,2010
reanalysis,surface_pressure,2011
reanalysis,surface_pressure,2012
reanalysis,surface_pressure,2013
reanalysis,surface_pressure,2014
reanalysis,surface_pressure,2015
reanalysis,surface_pressure,2016
reanalysis,surface_pressure,2017
reanalysis,surface_pressure,2018
reanalysis,surface_pressure,2019
reanalysis,surface_pressure,2020
reanalysis,surface_pressure,2021
reanalysis,surface_solar_radiation_downwards,1980
reanalysis,surface_solar_radiation_downwards,1981
reanalysis,surface_solar_radiation_downwards,1982
reanalysis,surface_solar_radiation_downwards,1983
reanalysis,surface_solar_radiation_downwards,1984
reanalysis,surface_solar_radiation_downwards,1985
reanalysis,surface_solar_radiation_downwards,1986
reanalysis,surface_solar_radiation_downwards,1987
reanalysis,surface_solar_radiation_downwards,1988
reanalysis,surface_solar_radiation_downwards,1989
reanalysis,surface_solar_radiation_downwards,1990
reanalysis,surface_solar_radiation_downwards,1991
reanalysis,surface_solar_radiation_downwards,1992
reanalysis,surface_solar_radiation_downwards,1993
reanalysis,surface_solar_radiation_downwards,1994
reanalysis,surface_solar_radiation_downwards,1995
reanalysis,surface_solar_radiation_downwards,1996
reanalysis,surface_solar_radiation_downwards,1997
reanalysis,surface_solar_radiation_downwards,1998
reanalysis,surface_solar_radiation_downwards,1999
reanalysis,surface_solar_radiation_downwards,2000
reanalysis,surface_solar_radiation_downwards,2001
reanalysis,surface_solar_radiation_downwards,2002
reanalysis,surface_solar_radiation_downwards,2003
reanalysis,surface_solar_radiation_downwards,2004
reanalysis,surface_solar_radiation_downwards,2005
reanalysis,surface_solar_radiation_downwards,2006
reanalysis,surface_solar_radiation_downwards,2007
reanalysis,surface_solar_radiation_downwards,2008
reanalysis,surface_solar_radiation_downwards,2009
reanalysis,surface_solar_radiation_downwards,2010
reanalysis,surface_solar_radiation_downwards,2011
reanalysis,surface_solar_radiation_downwards,2012
reanalysis,surface_solar_radiation_downwards,2013
reanalysis,surface_solar_radiation_downwards,2014
reanalysis,surface_solar_radiation_downwards,2015
reanalysis,surface_solar_radiation_downwards,2016
reanalysis,surface_solar_radiation_downwards,2017
reanalysis,surface_solar_radiation_downwards,2018
reanalysis,surface_solar_radiation_downwards,2019
reanalysis,surface_solar_radiation_downwards,2020
reanalysis,surface_solar_radiation_downwards,2021
